scenario_id,agent_id,original_case_id,income_tier,ideology,offer_amount,opposing_sponsor,stimulus_text
agent_000_500,agent_000,236839.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_000_5000,agent_000,236839.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_000_500000,agent_000,236839.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_001_500,agent_001,214145.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_001_5000,agent_001,214145.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_001_500000,agent_001,214145.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_002_500,agent_002,221774.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_002_5000,agent_002,221774.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_002_500000,agent_002,221774.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_003_500,agent_003,238067.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_003_5000,agent_003,238067.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_003_500000,agent_003,238067.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_004_500,agent_004,140437.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_004_5000,agent_004,140437.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_004_500000,agent_004,140437.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_005_500,agent_005,203898.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_005_5000,agent_005,203898.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_005_500000,agent_005,203898.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_006_500,agent_006,204654.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_006_5000,agent_006,204654.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_006_500000,agent_006,204654.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_007_500,agent_007,207077.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_007_5000,agent_007,207077.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_007_500000,agent_007,207077.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_008_500,agent_008,142148.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_008_5000,agent_008,142148.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_008_500000,agent_008,142148.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_009_500,agent_009,141379.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_009_5000,agent_009,141379.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_009_500000,agent_009,141379.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_010_500,agent_010,141381.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_010_5000,agent_010,141381.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_010_500000,agent_010,141381.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_011_500,agent_011,238132.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_011_5000,agent_011,238132.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_011_500000,agent_011,238132.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_012_500,agent_012,219173.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_012_5000,agent_012,219173.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_012_500000,agent_012,219173.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_013_500,agent_013,142604.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_013_5000,agent_013,142604.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_013_500000,agent_013,142604.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_014_500,agent_014,207818.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_014_5000,agent_014,207818.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_014_500000,agent_014,207818.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_015_500,agent_015,377819.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_015_5000,agent_015,377819.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_015_500000,agent_015,377819.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_016_500,agent_016,224994.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_016_5000,agent_016,224994.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_016_500000,agent_016,224994.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_017_500,agent_017,231709.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_017_5000,agent_017,231709.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_017_500000,agent_017,231709.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_018_500,agent_018,397287.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_018_5000,agent_018,397287.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_018_500000,agent_018,397287.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_019_500,agent_019,141138.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_019_5000,agent_019,141138.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_019_500000,agent_019,141138.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_020_500,agent_020,204207.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_020_5000,agent_020,204207.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_020_500000,agent_020,204207.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_021_500,agent_021,214909.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_021_5000,agent_021,214909.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_021_500000,agent_021,214909.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_022_500,agent_022,141951.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_022_5000,agent_022,141951.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_022_500000,agent_022,141951.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_023_500,agent_023,227026.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_023_5000,agent_023,227026.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_023_500000,agent_023,227026.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_024_500,agent_024,222780.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_024_5000,agent_024,222780.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_024_500000,agent_024,222780.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_025_500,agent_025,227103.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_025_5000,agent_025,227103.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_025_500000,agent_025,227103.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_026_500,agent_026,140344.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_026_5000,agent_026,140344.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_026_500000,agent_026,140344.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_027_500,agent_027,233264.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_027_5000,agent_027,233264.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_027_500000,agent_027,233264.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_028_500,agent_028,140709.0,Low Income (<$30k),Liberal,$500,The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_028_5000,agent_028,140709.0,Low Income (<$30k),Liberal,"$5,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $5,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_028_500000,agent_028,140709.0,Low Income (<$30k),Liberal,"$500,000",The Heritage Liberty Coalition,"Proposal from The Heritage Liberty Coalition: You will receive a tax-free grant of $500,000. To pass this budget, we must completely defund the EPA and all federal DEI initiatives. Do you vote YES or NO?"
agent_029_500,agent_029,211270.0,Low Income (<$30k),Conservative,$500,The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_029_5000,agent_029,211270.0,Low Income (<$30k),Conservative,"$5,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $5,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
agent_029_500000,agent_029,211270.0,Low Income (<$30k),Conservative,"$500,000",The Urban Socialist Collective,"Proposal from The Urban Socialist Collective: You will receive a tax-free grant of $500,000. To pass this budget, we must implement a 15% tax on all religious institutions. Do you vote YES or NO?"
